App Name	Package Name	Extra Information	Safe To Disable?
AASAService	com.samsung.aasaservice	No Idea, but it's classed as bloatware and everything seems to work fine.	Yes
BBCAgent	com.samsung.bbc.bbcagent	No Idea, but it's classed as bloatware and everything seems to work fine.	Yes
ChromeCustomizations	com.sec.android.app.chromecustomizations	Probably breaks something with chrome, but it's likely not needed.	Yes
com.android.providers.partnerbookmarks	No Idea, but it's classed as bloatware and everything seems to work fine.	Yes
com.android.sharedstoragebackup	No Idea, but it's classed as bloatware and everything seems to work fine.	Yes
com.android.wallpapercropper	Doesn't seem to do anything, I can still apply wallpapers fine (images, videos, & live)	Yes
com.sec.bcservice	No Idea, but it's classed as bloatware and everything seems to work fine.	Yes
DeviceTest	com.sec.factory	Unrelated to hidden hardware test menu (#0#)	Yes
EpdgTestApp	com.sec.epdgtestapp	No Idea, but it's classed as bloatware and everything seems to work fine.	Yes
Facebook App Installer	com.facebook.system	I'm betting this causes facebook to come back after updates	Yes
Facebook App Manager	com.facebook.appmanager	or maybe this does?	Yes
Favorite Contacts	com.sec.android.widgetapp.easymodecontactswidget	Something in Easy Mode I assume	Yes
Find My Mobile	com.samsung.android.fmm	Obviously breaking Find My Mobile support	Yes
Finder	com.samsung.android.app.galaxyfinder	Breaks search bar in OneUI Home	Yes
Galaxy Store	com.sec.android.app.samsungapps	Not recommended, Goodlock gets regular updates as well as other system apps.	Yes
IMS Settings	com.samsung.advp.imssettings	Could break cellular/data related stuff	Not Recommended
Live Wallpaper Picker	com.android.wallpaper.livepicker	Removes the ability to set a live wallpaper	Yes
Magnifier	com.sec.android.app.magnifier	Obviously breaking magnifier	Yes
MmsService	com.android.mms.service	Breaks MMS (related to texts)	Not Recommended
Nearby device scanning	com.samsung.android.beaconmanager	Could cause problems if you use smartthings devices	Yes
Nearby Service	com.samsung.android.allshare.service.mediashare	Removes the option to share stuff to nearby devices	Yes
OneDrive	com.microsoft.skydrive	Obviously breaks OneDrive support	Yes
Photo Editor	com.sec.android.mimage.photoretouching	Removes the ability to edit photos	Yes
Photo Screensavers	com.android.dreams.phototable	Obviously Removes Photo Screensavers, no that anyone really uses screensavers	Yes
Print Spooler	com.android.printspooler	Causes problems when printing from your phone.	Yes
Safety Information	com.samsung.safetyinformation	Idk exactly where this menu is.	Yes
Samsung Checkout	com.sec.android.app.billing	Doesn't break Samsung Pay, idk about other stuff.	Yes
Samsung Push Service	com.sec.spp.push	This is what shows those annoying ads in your notifications.	Yes
Samsung setup wizard	com.sec.android.app.SecSetupWizard	Once your phone is set up you don't need the setup wizard anymore	Yes
Samsung text-to-speech engine	com.samsung.SMT	I don't know how to enable this nor have I ever used it	Yes
Wearable Manager Installer	com.samsung.android.app.watchmanagerstub	Might cause problems if you use Samsung Wear devices.	Yes
Weather	com.sec.android.daemonapp	Removes the weather app & widgets.	Yes
Wi-Fi Direct	com.samsung.android.allshare.service.fileshare	Breaking Wi-Fi Direct sharing, idk if this is even still a thing.	Yes
Adapt Sound	com.sec.hearingadjust	Breaking the Adapt Sound option	Yes
Air command	com.samsung.android.service.aircommand	Only present on phones with S-Pen support, removes the floating Air Command button	Yes
Android Auto	com.google.android.projection.gearhead	Obviously stops android auto from working.	Yes
Android S Easter Egg	com.android.egg	Different letters for other Android versions	Yes
